Index,Carrier,Year,Service category,Request,Code type,Code,Description of service,Number of requests per code,Approval rate,Initially denied then approved - approval rate,Expedited - Avg response time,Standard - Avg response time,Extenuating circumstances - Avg response time,Expedited - Number of requests,Standard - Number of requests,Extenuating circumstances - Number of requests,Drug class,Drug name,Drug code
3388,Carrier A,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L8480,Pros sock single ply ak,1,1,,,28.2,,,1,,NA,NA,NA
3389,Carrier A,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5649,Isch containmt/narrow m-l so,1,1,,,28.2,,,1,,NA,NA,NA
3390,Carrier A,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5845,Knee-shin sys stance flexion,1,1,,,28.3,,,1,,NA,NA,NA
3391,Carrier A,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5968,Multiaxial ankle w dorsiflex,1,1,,,21.9,,,1,,NA,NA,NA
3392,Carrier A,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5981,All le prostheses,1,1,,,22,,,1,,NA,NA,NA
3393,Carrier A,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L8460,Shrinker above knee,1,1,,,28.2,,,1,,NA,NA,NA
3394,Carrier A,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5950,Endo ak ultra-light material,1,1,,,28.2,,,1,,NA,NA,NA
3395,Carrier A,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5650,Tot contact ak/knee disart s,1,1,,,28.2,,,1,,NA,NA,NA
3396,Carrier A,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5920,Endo ak/hip alignable system,1,1,,,28.2,,,1,,NA,NA,NA
3397,Carrier A,2022,Durable Medical Equipment,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,HCPC,L5652,Suction susp ak/knee disart,1,0,1,,28.3,,,1,,NA,NA,NA
3398,Carrier A,2022,Durable Medical Equipment,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,HCPC,L5649,Isch containmt/narrow m-l so,1,0,1,,28.2,,,1,,NA,NA,NA
3399,Carrier A,2022,Durable Medical Equipment,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,HCPC,L5845,Knee-shin sys stance flexion,1,0,1,,28.3,,,1,,NA,NA,NA
3400,Carrier A,2022,Durable Medical Equipment,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,HCPC,L8480,Pros sock single ply ak,1,0,1,,28.2,,,1,,NA,NA,NA
3401,Carrier A,2022,Durable Medical Equipment,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,HCPC,L5981,All le prostheses,1,0,1,,22,,,1,,NA,NA,NA
3402,Carrier A,2022,Durable Medical Equipment,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,HCPC,L8460,Shrinker above knee,1,0,1,,28.2,,,1,,NA,NA,NA
3403,Carrier A,2022,Durable Medical Equipment,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,HCPC,L5950,Endo ak ultra-light material,1,0,1,,28.2,,,1,,NA,NA,NA
3404,Carrier A,2022,Durable Medical Equipment,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,HCPC,L5650,Tot contact ak/knee disart s,1,0,1,,28.2,,,1,,NA,NA,NA
3405,Carrier A,2022,Durable Medical Equipment,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,HCPC,L5920,Endo ak/hip alignable system,1,0,1,,28.2,,,1,,NA,NA,NA
3406,Carrier A,2022,Prescription Drugs,Codes with the highest total number of prior authorization requests during the plan year,GPI10,NA,NA,373,0.56,,4.74,12.95,,92,281,,ANTIDIABETICS,OZEMPIC/RYBELSUS,2717007000
3407,Carrier A,2022,Prescription Drugs,Codes with the highest total number of prior authorization requests during the plan year,GPI10,NA,NA,242,0.76,,4.13,9.56,,65,177,,ANDROGENS-ANABOLIC,DEPO-TESTOSTERONE/TESTOSTERONE,2310003010
3408,Carrier A,2022,Prescription Drugs,Codes with the highest total number of prior authorization requests during the plan year,GPI10,NA,NA,197,0.9,,10.16,9.46,,30,167,,ULCER DRUGS/ANTISPASMODICS/ANTICHOLINERGICS,FIRST-OMEPRAZOLE/OMEPRAZOLE/PRILOSEC,4927006000
3409,Carrier A,2022,Prescription Drugs,Codes with the highest total number of prior authorization requests during the plan year,GPI10,NA,NA,147,0.75,,2.89,15.68,,45,102,,ADHD/ANTI-NARCOLEPSY/ANTI-OBESITY/ANOREXIANTS,ADDERALL/AMPHETAMINE-DEXTROAMPHET/AMPHETAMINE-DEXTROAMPHETAMINE/AMPHETAMINE/DEXTROAMPHETAMINE/MYDAYIS,6110990210
3410,Carrier A,2022,Prescription Drugs,Codes with the highest total number of prior authorization requests during the plan year,GPI10,NA,NA,147,0.71,,3.12,10.5,,19,128,,DERMATOLOGICALS,PROTOPIC/TACROLIMUS,9078407500
3411,Carrier A,2022,Prescription Drugs,Codes with the highest total number of prior authorization requests during the plan year,GPI10,NA,NA,146,0.87,,3.78,12.45,,52,94,,ANALGESICS - OPIOID,HYDROCODONE/HYDROCODONE-ACETAMINOPHEN/HYDROCODONE-APAP/HYDROCODONE/ACETAMINOPHEN,6599170210
3412,Carrier A,2022,Prescription Drugs,Codes with the highest total number of prior authorization requests during the plan year,GPI10,NA,NA,132,0.93,,0.53,6.9,,26,106,,ULCER DRUGS/ANTISPASMODICS/ANTICHOLINERGICS,PANTOPRAZOLE,4927007010
3413,Carrier A,2022,Prescription Drugs,Codes with the highest total number of prior authorization requests during the plan year,GPI10,NA,NA,121,0.78,,7.89,16.15,,27,94,,ANTIDIABETICS,DULAGLUTIDE/TRULICITY,2717001500
3414,Carrier A,2022,Prescription Drugs,Codes with the highest total number of prior authorization requests during the plan year,GPI10,NA,NA,121,0.88,,7.95,40.74,,25,96,,ANALGESICS - ANTI-INFLAMMATORY,HUMIRA,6627001500
3415,Carrier A,2022,Prescription Drugs,Codes with the highest total number of prior authorization requests during the plan year,GPI10,NA,NA,115,0.82,,0.29,7.44,,25,90,,DERMATOLOGICALS,ABSORICA/ACCUTANE/AMNESTEEM/CLARAVIS/ISOTRETINOIN/MYORISAN/ZENATANE,9005001300
3416,Carrier A,2022,Prescription Drugs,Codes with the highest percentage of approved prior authorization requests during the plan year,GPI10,NA,NA,25,1,,7.74,18.09,,9,16,,DERMATOLOGICALS,SKYRIZI,9025057070
3417,Carrier A,2022,Prescription Drugs,Codes with the highest percentage of approved prior authorization requests during the plan year,GPI10,NA,NA,22,1,,1.77,18.81,,6,16,,ANTICONVULSANTS,GABAPENTIN,7260003000
3418,Carrier A,2022,Prescription Drugs,Codes with the highest percentage of approved prior authorization requests during the plan year,GPI10,NA,NA,20,1,,8.38,15.88,,6,14,,ULCER DRUGS/ANTISPASMODICS/ANTICHOLINERGICS,OMEPRAZOLE/PANTOPRAZOLE/RABEPRAZOLE,4927007610
3419,Carrier A,2022,Prescription Drugs,Codes with the highest percentage of approved prior authorization requests during the plan year,GPI10,NA,NA,14,1,,5.34,2.62,,4,10,,ANTIDIABETICS,JANUMET,2799250270
3420,Carrier A,2022,Prescription Drugs,Codes with the highest percentage of approved prior authorization requests during the plan year,GPI10,NA,NA,14,1,,,16.31,,1,13,,DERMATOLOGICALS,AKLIEF,9005003500
3421,Carrier A,2022,Prescription Drugs,Codes with the highest percentage of approved prior authorization requests during the plan year,GPI10,NA,NA,9,1,,,16.86,,,9,,PASSIVE IMMUNIZING AND TREATMENT AGENTS,HIZENTRA,1910002020
3422,Carrier A,2022,Prescription Drugs,Codes with the highest percentage of approved prior authorization requests during the plan year,GPI10,NA,NA,9,1,,2.66,0.04,,8,1,,ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES,CAPECITABINE,2130000500
3423,Carrier A,2022,Prescription Drugs,Codes with the highest percentage of approved prior authorization requests during the plan year,GPI10,NA,NA,7,1,,,,,2,5,,HYPNOTICS/SEDATIVES/SLEEP DISORDER AGENTS,ZALEPLON,6020407000
3424,Carrier A,2022,Prescription Drugs,Codes with the highest percentage of approved prior authorization requests during the plan year,GPI10,NA,NA,7,1,,,0.01,,4,3,,HYPNOTICS/SEDATIVES/SLEEP DISORDER AGENTS,RAMELTEON,6025006000
3425,Carrier A,2022,Prescription Drugs,Codes with the highest percentage of approved prior authorization requests during the plan year,GPI10,NA,NA,6,1,,0.92,19.02,,1,5,,ENDOCRINE AND METABOLIC AGENTS - MISC.,PROLIA,3004453000
3426,Carrier A,2022,Prescription Drugs,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,GPI10,NA,NA,5,0,1,,41.37,,,5,,DERMATOLOGICALS,STELARA,9025058500
3427,Carrier A,2022,Prescription Drugs,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,GPI10,NA,NA,3,0,1,,60.18,,,3,,ANDROGENS-ANABOLIC,ANDROGEL/TESTOSTERONE,2310003000
3428,Carrier A,2022,Prescription Drugs,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,GPI10,NA,NA,3,0,1,0.71,42.43,,1,2,,ANALGESICS - ANTI-INFLAMMATORY,HUMIRA,6627001500
3429,Carrier A,2022,Prescription Drugs,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,GPI10,NA,NA,3,0,1,2.2,,,3,,,ANTICOAGULANTS,ELIQUIS,8337001000
3430,Carrier A,2022,Prescription Drugs,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,GPI10,NA,NA,2,0,1,52.62,2.72,,1,1,,ANDROGENS-ANABOLIC,TESTOSTERONE,2310003010
3431,Carrier A,2022,Prescription Drugs,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,GPI10,NA,NA,2,0,1,13.85,,,2,,,ADHD/ANTI-NARCOLEPSY/ANTI-OBESITY/ANOREXIANTS,WEGOVY,6125207000
3432,Carrier A,2022,Prescription Drugs,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,GPI10,NA,NA,2,0,1,0.54,,,2,,,ADHD/ANTI-NARCOLEPSY/ANTI-OBESITY/ANOREXIANTS,ARMODAFINIL,6140001000
3433,Carrier A,2022,Prescription Drugs,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,GPI10,NA,NA,2,0,1,5.08,5.18,,1,1,,PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS - MISC.,GRALISE,6254003000
3434,Carrier A,2022,Prescription Drugs,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,GPI10,NA,NA,2,0,1,,35.61,,,2,,ANALGESICS - ANTI-INFLAMMATORY,SIMPONI,6627004000
3435,Carrier A,2022,Prescription Drugs,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,GPI10,NA,NA,2,0,1,0.26,19.75,,1,1,,DERMATOLOGICALS,COSENTYX,9025057500
3436,Carrier H,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,Revenue,121,Accommodation codes - room & board semiprivate (two beds)-medical/surgical/gyn,140,0.7,,19,53,,31,109,,NA,NA,NA
3437,Carrier H,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22853,"Insertion of interbody biomechanical device(s) (eg, synthetic cage, mesh) with integral anterior instrumentation for device anchoring (eg, screws, flanges), when performed, to intervertebral disc space in conjunction with interbody arthrodesis, each interspace (list separately in addition to code for primary procedure)",17,0.94,,26,70,,2,15,,NA,NA,NA
3438,Carrier H,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,20936,Autograft spine surgery local from same incision,14,0.93,,16,71,,2,12,,NA,NA,NA
3439,Carrier H,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,20930,Allograft for spine surgery only morselized,11,1,,26,65,,2,9,,NA,NA,NA
3440,Carrier H,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22840,"Posterior non-segmental instrumentation (eg, harrington rod technique, pedicle fixation across 1 interspace, atlantoaxial transarticular screw fixation, sublaminar wiring at c1, facet screw fixation) (list separately in addition to code for primary procedure)",11,0.91,,29,69,,1,10,,NA,NA,NA
3441,Carrier H,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,58150,"Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s);",9,1,,17,57,,3,6,,NA,NA,NA
3442,Carrier H,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,63048,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; each additional segment, cervical, thoracic, or lumbar (list separately in addition to code for primary procedure)",9,0.78,,19,73,,3,6,,NA,NA,NA
3443,Carrier H,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,Revenue,760,Ancillary services - specialty services-general classification,7,0.86,,1,26,,1,6,,NA,NA,NA
3444,Carrier H,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22612,"Arthrodesis, posterior or posterolateral technique, single level; lumbar (with lateral transverse technique, when performed)",6,0.83,,,67,,,6,,NA,NA,NA
